"","size_f","size.length.um.used.for.conversions","shape","polymer","particle.volume.um3","density.mg.um.3","organism.group","environment","bio.org","treatments","effect","effect_f","effect_10","exposure.duration.d","exposure.route","media.temp","lvl1_f","lvl2_f","dose.mg.L.master","sex","media.ph","media.sal.ppt","dose.particles.mL.master","effect.metric","functional.group","charge","zetapotential.mV","max.size.ingest.mm","acute.chronic_f","dose.mg.L.master.AF.noec","dose.particles.mL.master.AF.noec","dose.um3.mL.master","effect.score"
"33","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Stress","Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"34","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"35","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"36","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"37","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"Y","Y",1,7,"water",18,"Behavioral, Sensory, Neurological","Nervous System",1500,NA,NA,35,19149.65893,"LOEC",NA,NA,NA,NA,"Acute",3000,38299.31786,1604278075.1015,1
"38","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Behavioral, Sensory, Neurological","Nervous System",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"39","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"40","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"41","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"42","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"43","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"44","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"45","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"46","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"47","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"48","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"49","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"Y","Y",1,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"LOEC",NA,NA,NA,NA,"Acute",3000,38299.31786,1604278075.1015,1
"50","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","organism",1,"N","N",0,7,"water",18,"Fitness","Mortality",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,6
"51","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","cell",1,"N","N",0,7,"water",18,"Immune","Immune Cells",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"52","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","cell",1,"N","N",0,7,"water",18,"Immune","Immune Cells",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"53","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"Y","Y",1,7,"water",18,"Stress","Stress",1500,NA,NA,35,16733.58047,"LOEC",NA,NA,NA,NA,"Acute",3000,33467.16094,1401869159.34631,1
"54","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"55","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"56","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"57","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"Y","Y",1,7,"water",18,"Behavioral, Sensory, Neurological","Nervous System",1500,NA,NA,35,16733.58047,"LOEC",NA,NA,NA,NA,"Acute",3000,33467.16094,1401869159.34631,1
"58","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Behavioral, Sensory, Neurological","Nervous System",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"59","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"60","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"61","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"62","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"63","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"Y","Y",1,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"LOEC",NA,NA,NA,NA,"Acute",3000,33467.16094,1401869159.34631,1
"64","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"65","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"66","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"67","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"Y","Y",1,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"LOEC",NA,NA,NA,NA,"Acute",3000,33467.16094,1401869159.34631,1
"68","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"HONEC",NA,NA,NA,NA,"Acute",1500,16733.58047,1401869159.34631,1
"69","100µm < 1mm",100,"fragment","PS",83775.8041,1.07e-09,"Mollusca","Marine","subcell",1,"Y","Y",1,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,16733.58047,"LOEC",NA,NA,NA,NA,"Acute",3000,33467.16094,1401869159.34631,1
"70","1nm < 100nm",0.04,"sphere","PS",3.35e-05,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",5,NA,8.3,38,1.39e+11,NA,"COOH","negative",-9,0.27,"Acute",NA,NA,4656500,6
"71","1nm < 100nm",0.04,"sphere","PS",3.35e-05,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",10,NA,8.3,38,2.79e+11,NA,"COOH","negative",-9,0.27,"Acute",NA,NA,9346500,6
"72","1nm < 100nm",0.04,"sphere","PS",3.35e-05,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",25,NA,8.3,38,6.97e+11,NA,"COOH","negative",-9,0.27,"Acute",NA,NA,23349500,6
"73","1nm < 100nm",0.04,"sphere","PS",3.35e-05,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",50,NA,8.3,38,1.39e+12,NA,"COOH","negative",-9,0.27,"Acute",NA,NA,46565000,6
"74","1nm < 100nm",0.04,"sphere","PS",3.35e-05,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",100,NA,8.3,38,2.79e+12,"HONEC","COOH","negative",-9,0.27,"Acute",100,2.79e+12,93465000,6
"75","100nm < 1µm",0.106,"sphere","PS",0.000623615,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",5,NA,8.3,38,7493246311,NA,"NH2","positive",18,0.27,"Acute",NA,NA,4672900.79823427,6
"76","100nm < 1µm",0.106,"sphere","PS",0.000623615,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",10,NA,8.3,38,14986492622,NA,"NH2","positive",18,0.27,"Acute",NA,NA,9345801.59646853,6
"77","100nm < 1µm",0.106,"sphere","PS",0.000623615,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",25,NA,8.3,38,37466231554,NA,"NH2","positive",18,0.27,"Acute",NA,NA,23364503.9905477,6
"78","100nm < 1µm",0.106,"sphere","PS",0.000623615,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",50,NA,8.3,38,74932463108,NA,"NH2","positive",18,0.27,"Acute",NA,NA,46729007.9810954,6
